unified_id,SDCS,STATE_CODE_001,COUNTY_CODE_003,HIGHWAY_DISTRICT_002,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,BASE_HWY_NETWORK_012,TOLL_020,MAINTENANCE_021,FUNCTIONAL_CLASS_026,DESIGN_LOAD_031,MEDIAN_CODE_033,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,VERT_CLR_UND_REF_054A,LAT_UND_REF_055A,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,OPR_RATING_METH_063,INV_RATING_METH_065,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,NATIONAL_NETWORK_110,PIER_PROTECTION_111,SCOUR_CRITICAL_113,LOWEST_RATING,PRE_CODE_ERA,WAS_RECONSTRUCTED,NFHL_FLD_ZONE,NFHL_SFHA
"('      1W', '(48.29745556, -122.6078139)')",4.0,48,11,-999.0,6,8,1,3,25.0,12,6.0,1,1,1,1,1,1,5,1,1,6,10,4,3,2,2,8.0,8.0,7.0,6.0,2.0,2.0,7.0,6.0,-999.0,6,8,7,-999.0,-999.0,-999.0,-999.0,-999.0,2,4,1,1,4,1,1,1,1,-999.0,6,7,1,2,2.0,2.0
"('        ', '(47.769275, -122.707925)')",4.0,48,15,-999.0,8,1,1,3,25.0,12,-999.0,1,1,2,2,2,2,5,3,1,2,6,6,18,2,2,8.0,9.0,9.0,9.0,-999.0,-999.0,9.0,9.0,-999.0,6,9,7,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,1,3,7,7,10,1,-999.0,6,8,1,2,8.0,1.0
"('        ', '(47.56759167, -122.5517028)')",4.0,48,15,-999.0,6,8,1,3,25.0,12,3.0,1,1,1,1,1,1,5,3,7,2,2,4,13,1,1,7.0,8.0,7.0,-999.0,1.0,1.0,6.0,5.0,5.0,6,11,9,-999.0,-999.0,-999.0,-999.0,2.0,2,4,1,1,2,2,1,1,1,-999.0,11,7,2,2,8.0,1.0
"('00000000', '(47.25279444, -124.178075)')",4.0,48,10,-999.0,6,2,1,3,15.0,10,6.0,1,1,2,1,1,2,5,3,1,2,6,6,13,2,2,8.0,8.0,8.0,6.0,-999.0,-999.0,8.0,8.0,-999.0,6,9,7,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,2,2,2,1,1,1,-999.0,9,8,1,2,-999.0,-999.0
"('        ', '(47.98571667, -122.2271222)')",4.0,48,29,-999.0,6,8,1,3,25.0,12,1.0,1,1,2,2,2,3,5,3,1,2,6,6,2,2,2,7.0,8.0,8.0,7.0,-999.0,-999.0,8.0,4.0,-999.0,6,10,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,1,3,7,5,8,1,-999.0,6,7,1,2,8.0,1.0
"('        ', '(47.697975, -122.6195)')",4.0,48,15,-999.0,6,8,1,3,25.0,12,1.0,1,1,1,3,3,3,4,3,7,2,10,4,13,2,2,8.0,7.0,7.0,8.0,-999.0,-999.0,4.0,5.0,-999.0,1,10,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,1,9,8,1,1,1,-999.0,6,7,2,2,2.0,2.0
"('00000000', '(47.24963889, -124.1740556)')",4.0,48,10,-999.0,6,2,1,3,15.0,12,6.0,1,1,1,1,1,1,5,3,1,2,6,2,13,2,2,7.0,8.0,7.0,6.0,-999.0,-999.0,7.0,7.0,-999.0,6,8,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,2,2,2,1,1,1,-999.0,9,7,2,2,-999.0,-999.0
"('        ', '(48.21215, -121.9331306)')",4.0,48,29,-999.0,6,8,1,3,25.0,12,1.0,1,1,1,1,1,1,5,3,8,2,6,3,20,2,2,6.0,7.0,8.0,9.0,-999.0,-999.0,7.0,5.0,-999.0,6,8,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,4,1,1,2,2,1,1,1,-999.0,6,6,2,2,8.0,1.0
"('00000000', '(47.29477778, -124.0662222)')",4.0,48,10,-999.0,6,2,1,3,15.0,10,6.0,1,1,1,1,2,2,5,3,1,2,6,2,18,2,2,7.0,8.0,7.0,7.0,1.0,1.0,7.0,6.0,-999.0,6,9,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,2,2,2,1,1,1,-999.0,9,7,2,2,-999.0,-999.0
"('00000000', '(47.35775278, -123.9907278)')",4.0,48,10,3.0,6,2,1,3,15.0,10,10.0,1,1,2,2,2,2,5,1,1,2,6,6,18,2,2,8.0,8.0,8.0,8.0,1.0,1.0,8.0,8.0,-999.0,6,9,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,2,3,7,6,2,1,-999.0,9,8,1,2,-999.0,-999.0
